Country/Territory,IMF_Forecast,IMF_Year,WB_Estimate,WB_Year,UN_Estimate,UN_Year
Zambia,28910.0,2025,26326.0,2024,27578.0,2023
Bosnia and Herzegovina,28807.0,2025,28343.0,2024,27515.0,2023
Albania,28372.0,2025,27178.0,2024,22978.0,2023
Burkina Faso,27056.0,2025,23250.0,2024,20325.0,2023
Trinidad and Tobago,26467.0,2025,26429.0,2024,25489.0,2023
Armenia,26258.0,2025,25787.0,2024,24219.0,2023
Guyana,25822.0,2025,24836.0,2024,16683.0,2023
Mongolia,25804.0,2025,23586.0,2024,19872.0,2023
Malta,25750.0,2025,24322.0,2024,22212.0,2023
Mozambique,23771.0,2025,22417.0,2024,20954.0,2023
Mali,23208.0,2025,26588.0,2024,20662.0,2023
Benin,22236.0,2025,21483.0,2024,19673.0,2023
Niger,21874.0,2025,19538.0,2024,16819.0,2023
Jamaica,21411.0,2025,19930.0,2024,19423.0,2023
Nicaragua,21155.0,2025,19694.0,2024,17829.0,2023
Gabon,20391.0,2025,20867.0,2024,20056.0,2023
Lebanon,,,20079.0,2023,27464.0,2023
Syria,,,19993.0,2023,29028.0,2023
Kyrgyzstan,19849.0,2025,17478.0,2024,13988.0,2023
Moldova,19462.0,2025,18200.0,2024,16542.0,2023
Botswana,19400.0,2025,19401.0,2024,19396.0,2023
Chad,18792.0,2025,20626.0,2024,17643.0,2023
Madagascar,18708.0,2025,17421.0,2024,15870.0,2023
North Macedonia,17885.0,2025,16685.0,2024,15764.0,2023
Yemen,17401.0,2025,,,8758.0,2023
Afghanistan,,,17152.0,2023,16417.0,2023
North Korea,,,,,16447.0,2023
Laos,16322.0,2025,16503.0,2024,15008.0,2023
Brunei,16007.0,2025,15463.0,2024,15128.0,2023
Mauritius,15495.0,2025,14953.0,2024,14397.0,2023
Congo,15281.0,2025,15720.0,2024,14167.0,2023
Bahamas,15178.0,2025,15833.0,2024,14338.0,2023
Tajikistan,14836.0,2025,14205.0,2024,12061.0,2023
Rwanda,14771.0,2025,14252.0,2024,14097.0,2023
Namibia,14214.0,2025,13372.0,2024,12351.0,2023
Malawi,13959.0,2025,11009.0,2024,12627.0,2023
Palestine,,,13711.0,2024,17396.0,2023
Somalia,12994.0,2025,12109.0,2024,10969.0,2023
Equatorial Guinea,12684.0,2025,12766.0,2024,12117.0,2023
Channel Islands,,,12508.0,2023,,
Mauritania,11470.0,2025,10767.0,2024,10652.0,2023
Kosovo,11274.0,2025,11149.0,2024,10467.0,2023
New Caledonia,,,9623.0,2022,10140.0,2023
Togo,10023.0,2025,9926.0,2024,9278.0,2023
Monaco,,,9995.0,2023,9995.0,2023
Bermuda,,,8980.0,2024,8142.0,2023
Montenegro,8562.0,2025,8070.0,2024,7530.0,2023
Sierra Leone,8386.0,2025,7548.0,2024,6412.0,2023
Liechtenstein,,,8288.0,2023,7965.0,2023
Barbados,7552.0,2025,7165.0,2024,6721.0,2023
Maldives,7480.0,2025,6975.0,2024,6591.0,2023
Isle of Man,,,7431.0,2022,,
Cayman Islands,,,7139.0,2023,7127.0,2023
Guam,,,6910.0,2022,,
Burundi,6745.0,2025,2162.0,2024,3960.0,2023
French Polynesia,,,6402.0,2023,6398.0,2023
Fiji,6257.0,2025,5841.0,2024,5442.0,2023
Eswatini,5483.0,2025,4892.0,2024,4574.0,2023
Liberia,5166.0,2025,4750.0,2024,5039.0,2023
U.S. Virgin Islands,,,4672.0,2022,,
Djibouti,4587.0,2025,4086.0,2024,4000.0,2023
Suriname,4506.0,2025,4714.0,2024,3759.0,2023
Aruba,4100.0,2025,3649.0,2023,3649.0,2023
Andorra,4035.0,2025,4040.0,2024,3785.0,2023
South Sudan,3998.0,2025,,,4629.0,2023
Faroe Islands,,,3907.0,2023,,
Belize,3611.0,2025,3516.0,2024,3079.0,2023
Bhutan,3422.0,2025,3019.0,2023,3019.0,2023
Greenland,,,3327.0,2023,3041.0,2023
Curaçao,,,3281.0,2023,3281.0,2023
Central African Republic,2932.0,2025,2752.0,2024,2555.0,2023
Cape Verde,2786.0,2025,2768.0,2024,2591.0,2023
Gambia,2771.0,2025,2508.0,2024,2401.0,2023
Saint Lucia,2632.0,2025,2549.0,2024,2430.0,2023
Zanzibar,,,,,2483.0,2023
Lesotho,2404.0,2025,2272.0,2024,2118.0,2023
Antigua and Barbuda,2373.0,2025,2225.0,2024,2033.0,2023
Eritrea,,,,,2275.0,2023
Guinea-Bissau,2274.0,2025,2120.0,2024,1841.0,2023
Seychelles,2198.0,2025,2167.0,2024,2141.0,2023
Timor-Leste,2115.0,2025,1881.0,2024,2080.0,2023
San Marino,2047.0,2025,1832.0,2022,1987.0,2023
Solomon Islands,1898.0,2025,1761.0,2024,1633.0,2023
Turks and Caicos Islands,,,1745.0,2024,1402.0,2023
Sint Maarten,,,1735.0,2024,1677.0,2023
Comoros,1548.0,2025,1546.0,2024,1448.0,2023
British Virgin Islands,,,,,1506.0,2023
Grenada,1464.0,2025,1391.0,2024,1317.0,2023
Vanuatu,1267.0,2025,1161.0,2024,1119.0,2023
Saint Vincent and the Grenadines,1242.0,2025,1157.0,2024,1091.0,2023
Northern Mariana Islands,,,1096.0,2022,,
Samoa,1160.0,2025,1068.0,2024,1032.0,2023
Saint Kitts and Nevis,1129.0,2025,1067.0,2024,1058.0,2023
American Samoa,,,871.0,2022,,
São Tomé and Príncipe,864.0,2025,764.0,2024,684.0,2023
Dominica,742.0,2025,689.0,2024,651.0,2023
Saint Martin,,,649.0,2021,,
Tonga,568.0,2025,509.0,2023,508.0,2023
Micronesia,500.0,2025,471.0,2024,460.0,2023
Anguilla,,,,,416.0,2023
Cook Islands,,,,,366.0,2023
Palau,333.0,2025,282.0,2023,282.0,2023
Kiribati,312.0,2025,308.0,2024,289.0,2023
Marshall Islands,297.0,2025,280.0,2024,270.0,2023
Nauru,169.0,2025,160.0,2024,176.0,2023
Montserrat,,,,,80.0,2023
Tuvalu,65.0,2025,62.0,2023,68.0,2023
